"Variable","GVIF","Df","GVIF^(1/(2*Df))"
"Gender",1.23228924322843,1,1.11008524142447
"Age",1.95539577181764,1,1.39835466596198
"family_history_with_overweight",1.28175657622,1,1.13214688809359
"FAVC",1.06769469538687,1,1.03329313139441
"FCVC",1.20721466879224,1,1.09873321092622
"NCP",1.08041959280767,1,1.03943234162098
"CAEC",1.25348353460296,3,1.03837232721394
"SMOKE",1.01241327113729,1,1.00618749303362
"CH2O",1.10555511117137,1,1.05145380838692
"SCC",1.05295942635552,1,1.02613811270975
"FAF",1.18356975339942,1,1.08791992049021
"TUE",1.15913137693866,1,1.07662963777645
"CALC",1.12220264211299,2,1.02924276235622
"MTRANS",1.77620001614512,4,1.0744506766298
