"Term","Estimate","OLS_SE","OLS_P","HC3_SE","HC3_P","HC3_Lower","HC3_Upper"
"(Intercept)",16.9448627214323,0.39738736785201,0,0.336168527576532,0,16.2859724073823,17.6037530354823
"GenderMale",-0.845088892021289,0.0871790567191639,3.57355396231615e-22,0.0885791522409607,1.57381474317966e-21,-1.01870403041357,-0.671473753629006
"Age",2.34115172649293,0.0549098062160623,0,0.0654793895189532,9.79549197791962e-272,2.21281212303578,2.46949132995008
"family_history_with_overweightYes",6.58254619417704,0.115621677087793,0,0.110781440811457,0,6.36541457018659,6.7996778181675
"FAVCYes",2.59980095123783,0.145057002515581,2.71131019902115e-71,0.139894935771933,1.81172528769808e-76,2.32560687712485,2.87399502535082
"FCVC",1.58149422235345,0.0431444390780554,4.41286218361025e-285,0.0439917737735981,1.31479100987062e-274,1.4952703457572,1.6677180989497
"NCP",0.210623813930197,0.0408158458239582,2.48767958868398e-07,0.038141503884178,3.38857861749016e-08,0.135866466317208,0.285381161543186
"CAECSometimes",1.28354428305922,0.350721643305978,0.000253113644376672,0.281532633548732,5.16591012236329e-06,0.731740321303703,1.83534824481473
"CAECFrequently",-4.66857884760492,0.365912046583932,3.84391921903133e-37,0.298985786351601,1.18384541989009e-54,-5.25459098885406,-4.08256670635578
"CAECAlways",-2.66062885038069,0.434056414927726,8.9643372171232e-10,0.375462931300076,1.42198680533677e-12,-3.39653619572884,-1.92472150503254
"SMOKEYes",0.617139627609469,0.365838075817202,0.0916337445400845,0.345512072686826,0.074088062754474,-0.0600640348567107,1.29434329007565
"CH2O",1.31472309448279,0.0412878980340442,2.77232872904255e-217,0.0406670656636677,9.61738700676709e-224,1.235015645782,1.39443054318358
"SCCYes",-2.69780431235767,0.225242617757308,6.00070836617283e-33,0.218134822102006,5.20043752888443e-35,-3.1253485636776,-2.27026006103774
"FAF",-0.492137613459346,0.0427198288580221,1.29470386844798e-30,0.0447695747862723,4.95300636525597e-28,-0.579885980040439,-0.404389246878252
"TUE",-0.176300229328913,0.0422764883729311,3.05606476310146e-05,0.0428112971457211,3.83526424061296e-05,-0.260210371734527,-0.0923900869233001
"CALCSometimes",2.45981226316074,0.0956080880958617,1.0161603599276e-143,0.0936022059728735,9.29338070457573e-150,2.27635193945391,2.64327258686758
"CALCFrequently",1.12437707941971,0.259886727882874,1.52266290605266e-05,0.264048038071613,2.06959182034686e-05,0.606842924799348,1.64191123404007
"MTRANSPublic_Transportation",4.59698474462648,0.136165600608589,2.83329506802434e-243,0.140515527099986,6.13998883856555e-229,4.3215743115105,4.87239517774245
"MTRANSWalking",2.21345478096216,0.296112160198739,8.02331086368167e-14,0.297622463498698,1.06902212125541e-13,1.63011475250472,2.79679480941961
"MTRANSBike",0.886012250915036,1.00827181858116,0.379550578820488,1.10736198199915,0.423655785800811,-1.28441723380331,3.05644173563338
"MTRANSMotorbike",-0.056038039564705,0.925430931712626,0.951715427131818,0.974455020894983,0.954141839523118,-1.96596988051887,1.85389380138946
