"Term","Estimate","OLS_Lower","OLS_Upper","HC3_Lower","HC3_Upper","Bootstrap_Lower","Bootstrap_Upper","Bootstrap_Valid_Runs","OLS_Significant","HC3_Significant","Bootstrap_Significant"
"(Intercept)",16.9448627214323,16.1659523296045,17.7237731132601,16.2859724073823,17.6037530354823,16.2683420969686,17.5500179881158,1000,TRUE,TRUE,TRUE
"GenderMale",-0.845088892021289,-1.01596667707859,-0.674211106963992,-1.01870403041357,-0.671473753629006,-1.01501749573837,-0.679474817120803,1000,TRUE,TRUE,TRUE
"Age",2.34115172649293,2.23352420197919,2.44877925100666,2.21281212303578,2.46949132995008,2.21286627725617,2.46812542310774,1000,TRUE,TRUE,TRUE
"family_history_with_overweightYes",6.58254619417704,6.35591864360584,6.80917374474825,6.36541457018659,6.7996778181675,6.36645967914102,6.79045979935848,1000,TRUE,TRUE,TRUE
"FAVCYes",2.59980095123783,2.31547785541952,2.88412404705615,2.32560687712485,2.87399502535082,2.32728033203242,2.88813427855434,1000,TRUE,TRUE,TRUE
"FCVC",1.58149422235345,1.49692773970674,1.66606070500016,1.4952703457572,1.6677180989497,1.49049338196362,1.66517117769734,1000,TRUE,TRUE,TRUE
"NCP",0.210623813930197,0.130621556597846,0.290626071262547,0.135866466317208,0.285381161543186,0.131263987272294,0.285516800900067,1000,TRUE,TRUE,TRUE
"CAECSometimes",1.28354428305922,0.59610236942577,1.97098619669267,0.731740321303703,1.83534824481473,0.753425656290991,1.82619527542971,1000,TRUE,TRUE,TRUE
"CAECFrequently",-4.66857884760492,-5.38579514242519,-3.95136255278465,-5.25459098885406,-4.08256670635578,-5.23122666763789,-4.09547126046243,1000,TRUE,TRUE,TRUE
"CAECAlways",-2.66062885038069,-3.51141344893046,-1.80984425183093,-3.39653619572884,-1.92472150503254,-3.38912160180942,-1.92639211234223,1000,TRUE,TRUE,TRUE
"SMOKEYes",0.617139627609469,-0.0999316787095073,1.33421093392845,-0.0600640348567107,1.29434329007565,-0.042382433984795,1.26940534777209,1000,FALSE,FALSE,FALSE
"CH2O",1.31472309448279,1.23379557781492,1.39565061115066,1.235015645782,1.39443054318358,1.23653649225576,1.40115119629417,1000,TRUE,TRUE,TRUE
"SCCYes",-2.69780431235767,-3.13929749972793,-2.25631112498741,-3.1253485636776,-2.27026006103774,-3.09333127861252,-2.26675298394172,1000,TRUE,TRUE,TRUE
"FAF",-0.492137613459346,-0.575871826789976,-0.408403400128715,-0.579885980040439,-0.404389246878252,-0.573895474186033,-0.403044210960632,1000,TRUE,TRUE,TRUE
"TUE",-0.176300229328913,-0.259165460555704,-0.0934349981021224,-0.260210371734527,-0.0923900869233001,-0.2614693685705,-0.0922405620973274,1000,TRUE,TRUE,TRUE
"CALCSometimes",2.45981226316074,2.27241291586094,2.64721161046055,2.27635193945391,2.64327258686758,2.28895984327138,2.6436028874063,1000,TRUE,TRUE,TRUE
"CALCFrequently",1.12437707941971,0.614978720482753,1.63377543835667,0.606842924799348,1.64191123404007,0.606739029873104,1.64059297941715,1000,TRUE,TRUE,TRUE
"MTRANSPublic_Transportation",4.59698474462648,4.33008949353485,4.8638799957181,4.3215743115105,4.87239517774245,4.3356309168149,4.85958169849469,1000,TRUE,TRUE,TRUE
"MTRANSWalking",2.21345478096216,1.6330517350071,2.79385782691723,1.63011475250472,2.79679480941961,1.68621301065043,2.80953441751342,1000,TRUE,TRUE,TRUE
"MTRANSBike",0.886012250915036,-1.09027955102377,2.86230405285384,-1.28441723380331,3.05644173563338,-1.06502280849627,3.06931788689064,1000,FALSE,FALSE,FALSE
"MTRANSMotorbike",-0.056038039564705,-1.86995520941867,1.75787913028926,-1.96596988051887,1.85389380138946,-2.15441209150065,1.86279476160477,1000,FALSE,FALSE,FALSE
